,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
3011,676407800,conair 1875 watt cord-keeper hair dryer; pink,3.0,0.0,0.0,0.0,0.0,Like many other of the commenters,"Like  many other of the commenters, my Conair hair dryer quit working after 3 months.  Good luck with customer service.  They'll look at it but require you to pay freight both ways.  $20 in freight for a $17 blower!  Doesn't sound like a company that is serious about finding problems so that they can improve their future products.",2015-01-08,"Like many other of the commenters Like  many other of the commenters, my Conair hair dryer quit working after 3 months.  Good luck with customer service.  They'll look at it but require you to pay freight both ways.  $20 in freight for a $17 blower!  Doesn't sound like a company that is serious about finding problems so that they can improve their future products.",64,neu,3.4229166666666666,0.0,0.0,0.0
3012,16483457,conair pro hair dryer,4.0,0.0,0.0,0.0,0.0,AMAZING!,"I purchased this hair dryer at my local sally beauty supply, and I absolutely LOVE it! I have very wavy/curly hair, and this dryer got my hair straight in no time! I will never use another hair dryer! Try it out! You won't regret it!",2015-01-08,"AMAZING! I purchased this hair dryer at my local sally beauty supply, and I absolutely LOVE it! I have very wavy/curly hair, and this dryer got my hair straight in no time! I will never use another hair dryer! Try it out! You won't regret it!",46,neu,3.8253125,0.0,0.0,0.0
3014,758099411,conair 1875 watt tourmaline ceramic hair dryer,3.0,1.0,2.0,0.0,0.0,Not a bargain here...,"I just bought this today at Walgreens Drug Store for 24.99, and this was not a sale price. Sorry, Amazon, I think consumers should be advised to check prices. I bought this after reading reviews on Amazon, haven't used it yet, but it looks good, light and easy to hold, and I like the hang up loop . I will update my review after I use the dryer.",2015-01-08,"Not a bargain here... I just bought this today at Walgreens Drug Store for 24.99, and this was not a sale price. Sorry, Amazon, I think consumers should be advised to check prices. I bought this after reading reviews on Amazon, haven't used it yet, but it looks good, light and easy to hold, and I like the hang up loop . I will update my review after I use the dryer.",72,neu,3.5166666666666666,0.5,6.475006475006475e-05,0.000216730089661252
3022,199558933,t3 bespoke labs 83808-se featherweight professional ionic ceramic tourmaline hair dryer,3.0,0.0,0.0,0.0,0.0,Beware of electrical issues on the T3,I would definitely not recommend purchasing this product as it is a safety hazard. I had an issue with the dryer sparking and smoking at the electrical outlet and had to get rid of it. The circuit protector never worked properly to warn of an electrical problem. I see where this has been an issue for others and believe Bespoke should recall the T3 before they get sued for the outbreak of a fire.,2015-01-07,Beware of electrical issues on the T3 I would definitely not recommend purchasing this product as it is a safety hazard. I had an issue with the dryer sparking and smoking at the electrical outlet and had to get rid of it. The circuit protector never worked properly to warn of an electrical problem. I see where this has been an issue for others and believe Bespoke should recall the T3 before they get sued for the outbreak of a fire.,81,neu,3.0,0.0,0.0,0.0
3040,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",4.0,0.0,0.0,0.0,0.0,dryers,My wife does hair and her old dryer went out. Saw these and bought 2. OMG clients do NOT sit under the dryer long at all. Will be buying another one soon.,2015-01-07,dryers My wife does hair and her old dryer went out. Saw these and bought 2. OMG clients do NOT sit under the dryer long at all. Will be buying another one soon.,33,neu,3.05,0.0,0.0,0.0
3068,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",4.0,229.0,235.0,0.0,0.0,GOTTA HAVE THIS ONE!,"It's hard to believe a hair dryer could make a big difference but this one absolutely DOES.  I'm sooo thrilled with it!  My kinky/curly fine/thin hair has dried much faster than usual (even though it's the same wattage as my previous dryer) and so smooth, soft, shiny and healthy looking (getting that without a flat iron also means that it gets to stay fluffier looking instead of flat and stringy).  -- I found it cheaper at Walmart, but it says it's a LIMITED EDITION so if you can't get it there, get it here.  But GET IT -- it's great!<br /><br />One thing I have to have on my driers is separate controls for the heat and for the air - this does - and it has the cool shot button as well.  The really nice thing if you use the end attachment that condenses the direction of the air flow, is that this dryer has a round end (not oval) so you can turn the attachment when you need to instead of holding your arm/wrist in awkward positions to blow at a certain angle.  Yes!<br /><br />What this Amazon site does NOT show you is all the info on the side of the box, so I'll take a minute and copy it down here for you.<br /><br />MICRO-CONDITIONERS:  Get smoother, healthier hair. Say good-bye to heat damage and say hello to an enhanced healthy shine!  This specially designed dryer features a grill that is infused with microscopic conditioners.  These micro-conditioners release into the dryer air flow, and are transferred to your hair, helping to prevent damage and increase shine and hair health.<br /><br />IONIC TECHNOLOGY:  Negative ions are activated by the heat of the dryer to heal heat damaged hair as you style. The ions reduce drying time and infuse vital moisture into the hair, resulting in reduced frizz and static.<br /><br />CERAMIC TECHNOLOGY:  Infrared heat is produced by the ceramic coated grill to help prevent damage to the hair and allows for faster drying time.<br /><br />TOURMALINE TECHNOLOGY:  This semiprecious gemstone works in conjunction with the ceramic technology of this dryer, producing far-infrared energy which protects the hair cuticle from over-heating, preventing brittleness and cracking.<br /><br />What else do you need to know -- it honestly does what it says - and I LOVE IT!  Get one while you can!gy of this dryer, producing far-infrared energy which protects the hair cuticle from over-heating, preventing brittleness and cracking.<br /><br />What else do you need to know -- it honestly does what it says - and I LOVE IT!  Get one while you can!",2015-01-05,"GOTTA HAVE THIS ONE! It's hard to believe a hair dryer could make a big difference but this one absolutely DOES.  I'm sooo thrilled with it!  My kinky/curly fine/thin hair has dried much faster than usual (even though it's the same wattage as my previous dryer) and so smooth, soft, shiny and healthy looking (getting that without a flat iron also means that it gets to stay fluffier looking instead of flat and stringy).  -- I found it cheaper at Walmart, but it says it's a LIMITED EDITION so if you can't get it there, get it here.  But GET IT -- it's great!<br /><br />One thing I have to have on my driers is separate controls for the heat and for the air - this does - and it has the cool shot button as well.  The really nice thing if you use the end attachment that condenses the direction of the air flow, is that this dryer has a round end (not oval) so you can turn the attachment when you need to instead of holding your arm/wrist in awkward positions to blow at a certain angle.  Yes!<br /><br />What this Amazon site does NOT show you is all the info on the side of the box, so I'll take a minute and copy it down here for you.<br /><br />MICRO-CONDITIONERS:  Get smoother, healthier hair. Say good-bye to heat damage and say hello to an enhanced healthy shine!  This specially designed dryer features a grill that is infused with microscopic conditioners.  These micro-conditioners release into the dryer air flow, and are transferred to your hair, helping to prevent damage and increase shine and hair health.<br /><br />IONIC TECHNOLOGY:  Negative ions are activated by the heat of the dryer to heal heat damaged hair as you style. The ions reduce drying time and infuse vital moisture into the hair, resulting in reduced frizz and static.<br /><br />CERAMIC TECHNOLOGY:  Infrared heat is produced by the ceramic coated grill to help prevent damage to the hair and allows for faster drying time.<br /><br />TOURMALINE TECHNOLOGY:  This semiprecious gemstone works in conjunction with the ceramic technology of this dryer, producing far-infrared energy which protects the hair cuticle from over-heating, preventing brittleness and cracking.<br /><br />What else do you need to know -- it honestly does what it says - and I LOVE IT!  Get one while you can!gy of this dryer, producing far-infrared energy which protects the hair cuticle from over-heating, preventing brittleness and cracking.<br /><br />What else do you need to know -- it honestly does what it says - and I LOVE IT!  Get one while you can!",438,neu,3.3253352490421455,0.9744680851063829,0.028898367196239536,0.10801027049594701
3080,531585937,bed head hot head 1875w hair dryer for massive shine,5.0,0.0,0.0,0.0,0.0,Four Stars,Great dryer!,2015-01-05,Four Stars Great dryer!,4,pos,5.0,0.0,0.0,0.0
3154,195677102,conair pro styler ionic conditioning hair dryer,3.0,0.0,1.0,0.0,0.0,Plenty of heat and small in stature but does the ...,Plenty of heat  and small in stature but does the job,2014-12-31,Plenty of heat and small in stature but does the ... Plenty of heat  and small in stature but does the job,22,neg,2.5,0.0,0.0,0.0
3178,328811288,conair minipro tourmaline ceramic styler / hair dryer; pink,4.0,1.0,1.0,0.0,0.0,Let me just say that this is the most amazing small hair dryer that I have ever used,"I received this as a gift because I travel weekly.  Let me just say that this is the most amazing small hair dryer that I have ever used.  I have very long and thick hair-almost to my waist-and I have never had a small blower dryer that could handle the length of time that it takes to dry my hair until now. This one not only does it, it doesn't even get hot to the touch! The size is what is so impressive as well! It truly is an amazing tool! You will not regret this one.  I am considering ordering a spare and I've only had mine a week and one traveling trip!",2014-12-30,"Let me just say that this is the most amazing small hair dryer that I have ever used I received this as a gift because I travel weekly.  Let me just say that this is the most amazing small hair dryer that I have ever used.  I have very long and thick hair-almost to my waist-and I have never had a small blower dryer that could handle the length of time that it takes to dry my hair until now. This one not only does it, it doesn't even get hot to the touch! The size is what is so impressive as well! It truly is an amazing tool! You will not regret this one.  I am considering ordering a spare and I've only had mine a week and one traveling trip!",132,neu,3.4107777777777777,1.0,0.0001295001295001295,0.00046747408258139653
3184,945323010,babyliss pro hair dryer ceramix xtreme pink edition - babbpk2000,4.0,0.0,0.0,0.0,0.0,For the Men ONLY!,"This Review is for the MEN ONLY. So I, the husband, bought this for my wife because she wanted something more powerful than 1850 watts. So this was her Christmas Gift. Her old hair dryer took 20 minutes to dry her hair and made it really frizzy (con-air brand). She timed her drying with this BABBPK2000 Xtreme Pink Edition and it took only.....wait for it.........5 minutes and her hair was shiny with no frizz. She HONESTLY WONT SHUT UP ABOUT IT. After she dries her hair she keeps telling me to look at it and see how there isn't any fuzz or frizz or whatever woman's hair gets like. HEY FELLAS, IF YOUR WIFE, GIRLFRIEND OR WHATEVER NEEDS A NEW HAIR DRYER THEN GO WITH THIS ONE. HAPPY WIFE/GIRLFRIEND HAPPY LIFE. Trust me guys She will be happy AND she will be ready faster, 15 minutes faster. So you wont have to yell at her to hurry up and then she gets mad and takes longer. lol.",2014-12-29,"For the Men ONLY! This Review is for the MEN ONLY. So I, the husband, bought this for my wife because she wanted something more powerful than 1850 watts. So this was her Christmas Gift. Her old hair dryer took 20 minutes to dry her hair and made it really frizzy (con-air brand). She timed her drying with this BABBPK2000 Xtreme Pink Edition and it took only.....wait for it.........5 minutes and her hair was shiny with no frizz. She HONESTLY WONT SHUT UP ABOUT IT. After she dries her hair she keeps telling me to look at it and see how there isn't any fuzz or frizz or whatever woman's hair gets like. HEY FELLAS, IF YOUR WIFE, GIRLFRIEND OR WHATEVER NEEDS A NEW HAIR DRYER THEN GO WITH THIS ONE. HAPPY WIFE/GIRLFRIEND HAPPY LIFE. Trust me guys She will be happy AND she will be ready faster, 15 minutes faster. So you wont have to yell at her to hurry up and then she gets mad and takes longer. lol.",171,neu,3.5555871212121213,0.0,0.0,0.0
3189,987021536,panasonic kurukuru curling hair dryer eh-ka60-k black | ac100-120v/200-240v (japan model),5.0,0.0,0.0,0.0,0.0,Five Stars,Good product,2014-12-29,Five Stars Good product,4,pos,4.4,0.0,0.0,0.0
3197,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",4.0,0.0,0.0,0.0,0.0,This blow dryer is awesome. First off,"This blow dryer is awesome. First off, the attachment makes it easier to blow dry my curly hair straight. Second, it blow dried my hair quick. I had it for a year or two and then one day it started smoking and caught fire. I was totally in shambles and now I use a s***ty blow drier. RIP cute pink blow drier",2014-12-29,"This blow dryer is awesome. First off This blow dryer is awesome. First off, the attachment makes it easier to blow dry my curly hair straight. Second, it blow dried my hair quick. I had it for a year or two and then one day it started smoking and caught fire. I was totally in shambles and now I use a s***ty blow drier. RIP cute pink blow drier",69,neu,3.5277777777777777,0.0,0.0,0.0
3220,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,4.0,0.0,2.0,0.0,0.0,I don't know if I have one on order or ...,I don't know if I have one on order or not... just ordered another one!  Because of the price.... We'll see!,2014-12-27,I don't know if I have one on order or ... I don't know if I have one on order or not... just ordered another one!  Because of the price.... We'll see!,32,neu,3.0,0.0,0.0,0.0
3244,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",4.0,0.0,0.0,0.0,0.0,"Perfect size, weight","This was purchased as a Christmas gift for someone other than myself.  She called when she opened it and loves it.  Perfect size, weight, and heat.",2014-12-25,"Perfect size, weight This was purchased as a Christmas gift for someone other than myself.  She called when she opened it and loves it.  Perfect size, weight, and heat.",29,pos,4.25,0.0,0.0,0.0
3280,919751065,revlon 1875w volumizing hair dryer,4.0,0.0,0.0,0.0,0.0,works well,I bought this hair dryer about a month ago. I really like it. It dries my hair quickly and without frizz. (I have the ion generator on and use the concentrator.) Also the cord is a good length-about 5 1/2  to 6 ft. long. (The cord on my last hair dryer was way too short.) I would recommend this hair dryer.,2014-12-23,works well I bought this hair dryer about a month ago. I really like it. It dries my hair quickly and without frizz. (I have the ion generator on and use the concentrator.) Also the cord is a good length-about 5 1/2  to 6 ft. long. (The cord on my last hair dryer was way too short.) I would recommend this hair dryer.,63,neu,3.3944444444444444,0.0,0.0,0.0
3285,196041133,hot tools professional 1600 watt super quiet turbo lightweight hair dryer,4.0,0.0,0.0,0.0,0.0,Excellent Hot Air Hair Dryer,This is best valve for the lowest wattage. I like that it has a cool switch so I don't have to hold down the cool button when I don't need heat to dry off. It looks good and works as you would expect with very simple toggle switches to control your settings.,2014-12-22,Excellent Hot Air Hair Dryer This is best valve for the lowest wattage. I like that it has a cool switch so I don't have to hold down the cool button when I don't need heat to dry off. It looks good and works as you would expect with very simple toggle switches to control your settings.,57,neu,3.7617283950617284,0.0,0.0,0.0
3308,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5.0,0.0,0.0,0.0,0.0,Great price and coality!,Great price and coality! Thank you Amazon!,2014-12-19,Great price and coality! Great price and coality! Thank you Amazon!,11,pos,5.0,0.0,0.0,0.0
3317,290876515,xtava rimini 1800w professional ionic ceramic hair dryer - reduce drying time and frizz with advanced ionic technology - bring the salon blowout to your home - 2 speeds and 3 heat settings - lightweight and ergonomic (blue),4.0,1.0,2.0,0.0,0.0,Dried my Hair Super Quick!,"This professional hair dryer came packaged beautifully making it perfect for giving as a gift for anyone who loves to do their hair. I'm obsessed with any hair product so I was so excited to get this product in the mail. I couldn't wait to try it out! It is such a beautiful shade of blue. This hair dryer is 1500 watts which means it can dry your hair super quick. I have very thick and long hair. My hair comes down to my lower back. I was able to blow dry my hair with this dryer in about 15 minutes. That's a pretty good time for my hair. It typically takes 20 to 25 minutes to blow dry my hair. I like that this dryer has the cool shot button. I always use this button when I'm done to give my hair a cool down and to lock in my hairstyle. The dryer also comes with a button for 3 speeds and 3 heat settings. Another feature that comes in handy is the concentrator nozzle. Occasionally I like to &#34;blow out&#34; my hair and this attachment is a must to be able to achieve this style. Overall, I'm really pleased with this hair dryer and would recommend this hair dryer to any of my friends or family.",2014-12-19,"Dried my Hair Super Quick! This professional hair dryer came packaged beautifully making it perfect for giving as a gift for anyone who loves to do their hair. I'm obsessed with any hair product so I was so excited to get this product in the mail. I couldn't wait to try it out! It is such a beautiful shade of blue. This hair dryer is 1500 watts which means it can dry your hair super quick. I have very thick and long hair. My hair comes down to my lower back. I was able to blow dry my hair with this dryer in about 15 minutes. That's a pretty good time for my hair. It typically takes 20 to 25 minutes to blow dry my hair. I like that this dryer has the cool shot button. I always use this button when I'm done to give my hair a cool down and to lock in my hairstyle. The dryer also comes with a button for 3 speeds and 3 heat settings. Another feature that comes in handy is the concentrator nozzle. Occasionally I like to &#34;blow out&#34; my hair and this attachment is a must to be able to achieve this style. Overall, I'm really pleased with this hair dryer and would recommend this hair dryer to any of my friends or family.",223,neu,3.4136024305555557,0.5,6.475006475006475e-05,0.00023747678432652582
3320,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",4.0,0.0,0.0,0.0,0.0,I love it!!,I love this dryer.  It heats like a professional dryer.  The only con is that the wheels don't roll that well and you have to hold the bonnet when moving it to prevent it from toping over.,2014-12-18,I love it!! I love this dryer.  It heats like a professional dryer.  The only con is that the wheels don't roll that well and you have to hold the bonnet when moving it to prevent it from toping over.,40,neu,3.690625,0.0,0.0,0.0
3354,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",4.0,0.0,0.0,0.0,0.0,Love it!!!,Amazing!!!!  I have never had a blow dryer so powerful that has so many settings.  I like that you can have the same blow power with the cool setting without holding down a button.  Love it!  Great price for great quality!!,2014-12-16,Love it!!! Amazing!!!!  I have never had a blow dryer so powerful that has so many settings.  I like that you can have the same blow power with the cool setting without holding down a button.  Love it!  Great price for great quality!!,43,pos,4.0792013888888885,0.0,0.0,0.0
3366,694290590,conair corp pers care 146np conair ionic conditioning 1875-watt hair dryer,4.0,0.0,0.0,0.0,0.0,Five Stars,Good quality and right price.,2014-12-15,Five Stars Good quality and right price.,7,neu,3.9857142857142858,0.0,0.0,0.0
3407,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5.0,0.0,0.0,0.0,0.0,Great Buy,"Purchased for my wife, and she loves it.",2014-12-11,"Great Buy Purchased for my wife, and she loves it.",10,pos,4.6,0.0,0.0,0.0
3414,258419037,"john frieda(r) jf1r 1,875-watt hair dryer",2.0,1.0,1.0,0.0,0.0,John Frizzy Hair Dryer,"I purchased this at the local CVS. It's supposed to make your hair soft. It burned my hair and made the ends knotted and frizzy. Someone else on here said that it knotted their hair, too. I'm so surprised at all the positive reviews. The button placements are terribly designed. It's heavy. The air on low is not low. And the low heat is too hot. Now I have to get a trim to get rid of the frizzy ends! Very frustrating.",2014-12-11,"John Frizzy Hair Dryer I purchased this at the local CVS. It's supposed to make your hair soft. It burned my hair and made the ends knotted and frizzy. Someone else on here said that it knotted their hair, too. I'm so surprised at all the positive reviews. The button placements are terribly designed. It's heavy. The air on low is not low. And the low heat is too hot. Now I have to get a trim to get rid of the frizzy ends! Very frustrating.",86,neu,2.821776859504132,1.0,0.0001295001295001295,0.0003327296135446334
3438,303775294,"conair infiniti pro 1875 watt salon performance ac motor styling hair dryer with twist folding handle, blue",4.0,0.0,0.0,0.0,0.0,"It's still running great, and for the price","I've had this hairdryer for three years now.  It's still running great, and for the price, I think it's a great dryer. I have thick, coarse, wavy hair. During the time I've owned this dryer I've had hairstyles shorter than my ears and hairstyles all the way to my waist. The choices between hot, warm, cold, and high and low flow have made it versatile through all my haircuts. It's one of the fastest dryers I've used, and on high, the air has a strong, fast flow. On hot, it gets truly hot.  (But I've never had to worry about overheating.) The cold shot is cold.  My only dissatisfaction is with the claim that it's an ionic hairdryer. They must have put a tiny amount of ceramic or tourmaline into the unit to claim that it's ionic--it does not affect it's performance.  But other than that I've really appreciated it's reliability.  For the price, it's great.",2014-12-09,"It's still running great, and for the price I've had this hairdryer for three years now.  It's still running great, and for the price, I think it's a great dryer. I have thick, coarse, wavy hair. During the time I've owned this dryer I've had hairstyles shorter than my ears and hairstyles all the way to my waist. The choices between hot, warm, cold, and high and low flow have made it versatile through all my haircuts. It's one of the fastest dryers I've used, and on high, the air has a strong, fast flow. On hot, it gets truly hot.  (But I've never had to worry about overheating.) The cold shot is cold.  My only dissatisfaction is with the claim that it's an ionic hairdryer. They must have put a tiny amount of ceramic or tourmaline into the unit to claim that it's ionic--it does not affect it's performance.  But other than that I've really appreciated it's reliability.  For the price, it's great.",164,neu,3.3162121212121214,0.0,0.0,0.0
3480,122140779,"jerdon wall mount hair dryer with 2-speed and heat settings, 1600-watts",3.0,0.0,0.0,0.0,0.0,Limited Settings & Only Lasted a Year.,"Update...The hair dryer slowly died after one year of use. Not surprising since it only had two settings: kinda powerful and very powerful. It was good for quickly drying my hair, but would leave my hair frizzy sometimes and was a pain for styling. I mostly used it when traveling. I was also never happy with the plastic wall mount because it cracked and the hair dryer sometimes falls out.",2014-12-06,"Limited Settings & Only Lasted a Year. Update...The hair dryer slowly died after one year of use. Not surprising since it only had two settings: kinda powerful and very powerful. It was good for quickly drying my hair, but would leave my hair frizzy sometimes and was a pain for styling. I mostly used it when traveling. I was also never happy with the plastic wall mount because it cracked and the hair dryer sometimes falls out.",77,neu,3.2003463203463203,0.0,0.0,0.0
3482,221722169,hot tools ionic anti-static professional dryer - model # 1035 - black/purple hair dryer for unisex,2.0,0.0,0.0,0.0,0.0,Buyer Beware of Warranty Stipulations,"I bought this for my girlfriend last year for Christmas. A little less than a year later the hair dryer's motor has malfunctioned. I called up the manufacturer, since it has a one year manufacturers warranty, and was told that they would replace it if I paid for the item to be shipped back and paid a $10 warranty replacement fee. I as the consumer should not have to pay for the warranty of a product that failed to even last a year. Other buyers, please be aware of this companies horrible warranty service.",2014-12-05,"Buyer Beware of Warranty Stipulations I bought this for my girlfriend last year for Christmas. A little less than a year later the hair dryer's motor has malfunctioned. I called up the manufacturer, since it has a one year manufacturers warranty, and was told that they would replace it if I paid for the item to be shipped back and paid a $10 warranty replacement fee. I as the consumer should not have to pay for the warranty of a product that failed to even last a year. Other buyers, please be aware of this companies horrible warranty service.",99,neg,2.654166666666667,0.0,0.0,0.0
3507,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",2.0,0.0,0.0,0.0,0.0,Heating Element Dies Quickly,"Do NOT buy this hair dryer!  I purchased one just over a year ago, and the heating element died after 6 months (and I don't even use it daily).  Not being a fast learner, I bough the same dryer, and guess what?  6 months later, the heating element died.<br /><br />Fool me once, shame on you.  Fool me twice, shame on me.  I will not be purchasing another Revlon dyer again.",2014-12-03,"Heating Element Dies Quickly Do NOT buy this hair dryer!  I purchased one just over a year ago, and the heating element died after 6 months (and I don't even use it daily).  Not being a fast learner, I bough the same dryer, and guess what?  6 months later, the heating element died.<br /><br />Fool me once, shame on you.  Fool me twice, shame on me.  I will not be purchasing another Revlon dyer again.",75,neu,2.9966666666666666,0.0,0.0,0.0
3536,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",4.0,1.0,1.0,0.0,0.0,This is a great hair dryer,"This is a great hair dryer! I watched the utube video of the woman with naturally curly hair and how she used this particular dryer because I have permed hair and need a diffuser and medium air pressure to dry my hair but still keep the curls. My previous Sassoon hair dryer did a great job of drying as well as maintaining my slowly diminishing &#34;old perm&#34; curls but with a little scrunching with mousse and my old, non ion ceramic dryer, my curls still looked good.<br /><br />With my purchase of the Remington AC2015  &#34;pearl, ionic&#34; dryer additions, I looked forward to the same old but better.....My hair is much more shiny and less frizzy, yes, but I do have to work with scrunching/spray to get those curls that I had when drying with my old non-pearl ceramic, etc. hairdryer. I think the ceramic or pearl or ionic features of this dryer are wonderful but, for someone like me with a loose perm of about 10 months, the dryer makes my hair just &#34;too smooth&#34;.<br /><br />Am certain this model would be perfect for all those ladies with gorgeous, thick hair who want the smooth look at a very very good price.<br /><br />Diffuser is included which did entice me to purchase this hair dryer as I do need to use a diffuser. BTW, reviewers have said dryer could be lighter in weight but it's perfectly OK with me. I felt my old dryer was OK regarding weight and feel this one is, as well. Not noisy at all, despite what some have said. I use it on medium airflow and medium heat and I'm very happy - not loud and I could definitely use the dryer for as long as it took to dry my hair if I had long hair w/o freaking out because of its noise.",2014-12-01,"This is a great hair dryer This is a great hair dryer! I watched the utube video of the woman with naturally curly hair and how she used this particular dryer because I have permed hair and need a diffuser and medium air pressure to dry my hair but still keep the curls. My previous Sassoon hair dryer did a great job of drying as well as maintaining my slowly diminishing &#34;old perm&#34; curls but with a little scrunching with mousse and my old, non ion ceramic dryer, my curls still looked good.<br /><br />With my purchase of the Remington AC2015  &#34;pearl, ionic&#34; dryer additions, I looked forward to the same old but better.....My hair is much more shiny and less frizzy, yes, but I do have to work with scrunching/spray to get those curls that I had when drying with my old non-pearl ceramic, etc. hairdryer. I think the ceramic or pearl or ionic features of this dryer are wonderful but, for someone like me with a loose perm of about 10 months, the dryer makes my hair just &#34;too smooth&#34;.<br /><br />Am certain this model would be perfect for all those ladies with gorgeous, thick hair who want the smooth look at a very very good price.<br /><br />Diffuser is included which did entice me to purchase this hair dryer as I do need to use a diffuser. BTW, reviewers have said dryer could be lighter in weight but it's perfectly OK with me. I felt my old dryer was OK regarding weight and feel this one is, as well. Not noisy at all, despite what some have said. I use it on medium airflow and medium heat and I'm very happy - not loud and I could definitely use the dryer for as long as it took to dry my hair if I had long hair w/o freaking out because of its noise.",316,neu,3.531866414835165,1.0,0.0001295001295001295,0.0004930563973161157
3557,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",3.0,0.0,0.0,0.0,0.0,Two Stars,Very low air pressure.,2014-11-29,Two Stars Very low air pressure.,6,neu,3.0,0.0,0.0,0.0
3564,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",4.0,0.0,0.0,0.0,0.0,My college budget hair dryer,"I've had mine for almost all 4 years of college and it still works well.  It's lasted longer than a lot of friends in my life.  I've had no sparks, no overheating, and have not burned off any of my hair.  I use it to dry my hair after I take a shower and I have no complaints.",2014-11-28,"My college budget hair dryer I've had mine for almost all 4 years of college and it still works well.  It's lasted longer than a lot of friends in my life.  I've had no sparks, no overheating, and have not burned off any of my hair.  I use it to dry my hair after I take a shower and I have no complaints.",63,neu,2.8666666666666667,0.0,0.0,0.0
3579,290876515,xtava rimini 1800w professional ionic ceramic hair dryer - reduce drying time and frizz with advanced ionic technology - bring the salon blowout to your home - 2 speeds and 3 heat settings - lightweight and ergonomic (blue),4.0,1.0,1.0,0.0,0.0,Fantastic dryer does the job perfectly,"I have to five star this one!<br /><br />Just got this a few days ago and LOVE LOVE LOVE it. I was using a lesser power one before, and wow, no comparison!<br />Dried my hair SO quickly, yet made it bouncy and beautiful.<br /><br />The amount of air blowing out was just perfect, and using the attachment enabled me to center in on certain portions of my hair and style using it.<br /><br />I love the bright blue color, it's made very sturdy, and the cord is very flexible while styling.<br /><br />LOVE.<br /><br />This product was provided for my unbiased opinion.",2014-11-26,"Fantastic dryer does the job perfectly I have to five star this one!<br /><br />Just got this a few days ago and LOVE LOVE LOVE it. I was using a lesser power one before, and wow, no comparison!<br />Dried my hair SO quickly, yet made it bouncy and beautiful.<br /><br />The amount of air blowing out was just perfect, and using the attachment enabled me to center in on certain portions of my hair and style using it.<br /><br />I love the bright blue color, it's made very sturdy, and the cord is very flexible while styling.<br /><br />LOVE.<br /><br />This product was provided for my unbiased opinion.",108,neu,3.6879551820728294,1.0,0.0001295001295001295,0.0004906951586927122
3582,290876515,xtava rimini 1800w professional ionic ceramic hair dryer - reduce drying time and frizz with advanced ionic technology - bring the salon blowout to your home - 2 speeds and 3 heat settings - lightweight and ergonomic (blue),4.0,7.0,9.0,0.0,0.0,No hair was harmed in the making of this review!,"Wow!  First and foremost, if you have long hair this is the Hair Dryer for you!  I have long hair and constantly fight with the air intake valve on my other hair dryers as they suck up my hair and it gets tangled up inside!  The Rimini by XTAVA  has mesh like metal over the air intake valve and cannot suck my hair into it. Secondly, it is powerful which is probably why it says professional in the name and oh SO quiet compared to all the other hair dryers I have used.  Third, it is light and the handle makes it so easy to use and to reach the different control buttons while you are still drying.  Love that it has a cold shot button to help &#34;set&#34; my hair.  It comes with a control nozzle that fits very well and is easy to get off and on to precisely aim the air right where you want it.<br />All in all I will tell you this is the best hair dryer that I have ever owned and it is aesthetically pretty too!  I won't get into all the specs because you can read them above but it does have 3 heat settings and yes, I use them all during one drying and it has 2 speed settings plus the cold shot button.  It usually takes about 20 minutes to completely dry my hair and with this one it took about 12 minutes.  I did receive this to try in exchange for my honest review and I will honestly tell you that this hair dryer is awesome!",2014-11-26,"No hair was harmed in the making of this review! Wow!  First and foremost, if you have long hair this is the Hair Dryer for you!  I have long hair and constantly fight with the air intake valve on my other hair dryers as they suck up my hair and it gets tangled up inside!  The Rimini by XTAVA  has mesh like metal over the air intake valve and cannot suck my hair into it. Secondly, it is powerful which is probably why it says professional in the name and oh SO quiet compared to all the other hair dryers I have used.  Third, it is light and the handle makes it so easy to use and to reach the different control buttons while you are still drying.  Love that it has a cold shot button to help &#34;set&#34; my hair.  It comes with a control nozzle that fits very well and is easy to get off and on to precisely aim the air right where you want it.<br />All in all I will tell you this is the best hair dryer that I have ever owned and it is aesthetically pretty too!  I won't get into all the specs because you can read them above but it does have 3 heat settings and yes, I use them all during one drying and it has 2 speed settings plus the cold shot button.  It usually takes about 20 minutes to completely dry my hair and with this one it took about 12 minutes.  I did receive this to try in exchange for my honest review and I will honestly tell you that this hair dryer is awesome!",277,neu,3.3468596059113302,0.7777777777777778,0.0007050562606118162,0.002576255344514538
